Specimen Collection Date,New Cases,Cumulative Cases,Data As Of,Data Loaded At
03/05/2021 12:00:00 AM,37,34486,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/08/2021 12:00:00 AM,38,34572,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/11/2021 12:00:00 AM,44,34680,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/14/2021 12:00:00 AM,14,34763,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/17/2021 12:00:00 AM,34,34863,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/20/2021 12:00:00 AM,34,34974,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/23/2021 12:00:00 AM,36,35071,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/26/2021 12:00:00 AM,41,35209,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/29/2021 12:00:00 AM,52,35303,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/01/2021 12:00:00 AM,49,35434,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/04/2021 12:00:00 AM,11,35493,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/07/2021 12:00:00 AM,49,35636,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/10/2021 12:00:00 AM,32,35736,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/13/2021 12:00:00 AM,36,35828,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/16/2021 12:00:00 AM,31,35948,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/19/2021 12:00:00 AM,32,36021,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/22/2021 12:00:00 AM,27,36108,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/25/2021 12:00:00 AM,15,36163,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/28/2021 12:00:00 AM,33,36255,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/01/2021 12:00:00 AM,18,36341,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/04/2021 12:00:00 AM,31,36405,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/07/2021 12:00:00 AM,19,36469,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/10/2021 12:00:00 AM,14,36514,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/13/2021 12:00:00 AM,21,36577,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/16/2021 12:00:00 AM,12,36614,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/19/2021 12:00:00 AM,25,36677,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/22/2021 12:00:00 AM,6,36716,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/25/2021 12:00:00 AM,19,36756,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/28/2021 12:00:00 AM,9,36797,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
05/31/2021 12:00:00 AM,11,36827,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/03/2021 12:00:00 AM,22,36891,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/06/2021 12:00:00 AM,4,36913,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/09/2021 12:00:00 AM,11,36950,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
